Death Rate Report for United States by County

"All Cancer Sites, 2010-2014"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"United States",00000,No,166.1 ,165.9, 166.3,582118,falling,-1.5 ,-1.6, -1.5
"Union County, Florida",12125,No,389.6 ,344.8, 438.6,65,stable,-0.5 ,-1.7, 0.8
"Powell County, Kentucky",21197,No,303.2 ,262.4, 348.6,42,stable,-0.1 ,-0.9, 0.8
"Harlan County, Kentucky",21095,No,280.7 ,256, 307.3,100,rising,0.9 ,0.2, 1.7
"Nome Census Area, Alaska",02180,No,280 ,220.1, 349.8,18,stable,0.7 ,-1.1, 2.5
"Coahoma County, Mississippi",28027,No,278.6 ,250.1, 309.4,73,rising,0.9 ,0.3, 1.6
"Owsley County, Kentucky",21189,No,275 ,218.3, 343.1,17,stable,0.4 ,-0.9, 1.8
"Lee County, Kentucky",21129,No,273.9 ,225.7, 330,24,stable,0.5 ,-0.8, 1.8
"Madison County, Mississippi",28089,No,272.8 ,257.8, 288.4,262,falling,-5.1 ,-6.3, -3.9
"Lawrence County, Kentucky",21127,No,268.6 ,235.4, 305.3,50,stable,0.4 ,-0.2, 1.0
"Wade Hampton Census Area, Alaska",02270,No,267.1 ,188.9, 362.9,9,stable,-0.1 ,-2.3, 2.2
"Comanche County, Kansas",20033,No,266.6 ,189.1, 371.4,8,stable,2.0 ,-0.2, 4.2
"Leslie County, Kentucky",21131,No,266.4 ,228.6, 309.1,37,stable,0.4 ,-0.5, 1.4
"Estill County, Kentucky",21065,No,266 ,232.7, 303,48,stable,0.6 ,-0.3, 1.5
"McCreary County, Kentucky",21147,No,265.6 ,232.9, 301.6,51,stable,-3.4 ,-20.2, 16.8
"Robertson County, Kentucky",21201,No,264.8 ,191.7, 361.3,9,stable,-0.2 ,-2.0, 1.7
"Nicholas County, Kentucky",21181,No,264.4 ,218.2, 318.1,24,stable,-0.1 ,-1.1, 0.9
"Woodson County, Kansas",20207,No,262.5 ,201.4, 339.6,14,rising,2.0 ,0.6, 3.6
"Tunica County, Mississippi",28143,No,260.1 ,213.8, 313,23,stable,-0.7 ,-1.7, 0.3
"Gallatin County, Kentucky",21077,No,259.4 ,210.5, 316.1,22,rising,11.4 ,2.3, 21.2
"Clay County, Kentucky",21051,No,259.4 ,229.7, 291.9,58,stable,0.8 ,-0.2, 1.7
"Phillips County, Arkansas",05107,No,257.7 ,229.7, 288.4,64,stable,-0.8 ,-1.5, 0.0
"Jackson County, Kentucky",21109,No,257.6 ,222.2, 297.2,40,stable,-0.2 ,-1.5, 1.0
"Perry County, Kentucky",21193,No,257.3 ,233.1, 283.5,87,stable,-0.0 ,-0.8, 0.8
"Mississippi County, Missouri",29133,No,255.7 ,222.7, 292.4,44,stable,-0.0 ,-1.1, 1.1
"Quitman County, Mississippi",28119,No,254.1 ,209.4, 306,24,stable,-0.2 ,-1.4, 0.9
"Martin County, Kentucky",21159,No,254 ,216.9, 295.7,35,stable,-0.5 ,-1.7, 0.7
"Dallas County, Arkansas",05039,No,252.4 ,211.6, 299.5,29,stable,-0.6 ,-1.8, 0.6
"Trousdale County, Tennessee",47169,No,251.6 ,206.2, 304.3,22,stable,0.0 ,-1.4, 1.5
"Okfuskee County, Oklahoma",40107,No,250.1 ,215.7, 288.6,39,stable,0.1 ,-0.8, 1.0
"Webster County, West Virginia",54101,No,249 ,210.5, 293.3,32,stable,0.8 ,0.0, 1.7
"Breathitt County, Kentucky",21025,No,248.7 ,214.3, 287.3,40,stable,0.0 ,-1.1, 1.1
"Hopewell City, Virginia",51670,No,248.3 ,222.1, 277,67,stable,0.0 ,-0.6, 0.6
"Morgan County, Kentucky",21175,No,247.5 ,212.6, 286.8,37,stable,0.6 ,-0.5, 1.8
"Fulton County, Kentucky",21075,No,247.4 ,204.9, 297.3,24,stable,-0.4 ,-1.3, 0.5
"East Carroll Parish, Louisiana",22035,No,246.9 ,200.4, 301.1,20,stable,-0.1 ,-1.3, 1.2
"Poinsett County, Arkansas",05111,No,245.1 ,220.7, 271.7,76,stable,-0.2 ,-0.9, 0.5
"Wolfe County, Kentucky",21237,No,244.5 ,199.8, 296.9,22,stable,-0.8 ,-2.6, 0.9
"Crittenden County, Arkansas",05035,No,244.3 ,224.6, 265.3,118,stable,-0.5 ,-1.2, 0.2
"Washington County, Mississippi",28151,No,243.8 ,225, 263.7,130,stable,-0.0 ,-0.5, 0.5
"Catahoula Parish, Louisiana",22025,No,243.6 ,205.1, 287.5,29,stable,0.5 ,-0.5, 1.5
"Scott County, Tennessee",47151,No,243.4 ,216.5, 272.8,62,stable,-0.5 ,-1.1, 0.2
"Clinton County, Kentucky",21053,No,243.2 ,206, 285.7,32,stable,0.1 ,-1.0, 1.2
"Hancock County, Tennessee",47067,No,243.1 ,198.4, 295.7,22,stable,0.4 ,-0.9, 1.7
"Henry County, Kentucky",21103,No,242.4 ,211.1, 277.2,46,stable,0.2 ,-0.7, 1.0
"Bristol City, Virginia",51520,No,242.1 ,215.1, 271.8,61,stable,0.2 ,-0.5, 0.9
"Floyd County, Kentucky",21071,No,242 ,221.9, 263.6,112,stable,-0.4 ,-1.0, 0.1
"Benton County, Tennessee",47005,No,241.8 ,214.3, 272.4,60,stable,0.5 ,-0.3, 1.2
"Chicot County, Arkansas",05017,No,241.6 ,208.4, 279.1,39,stable,0.1 ,-0.9, 1.2
"Rowan County, Kentucky",21205,No,241.4 ,213.7, 271.8,57,stable,0.9 ,-0.1, 1.8
"Anderson County, Texas",48001,No,241 ,224.2, 258.9,156,falling,-2.8 ,-4.1, -1.5
"Yalobusha County, Mississippi",28161,No,240.8 ,207.5, 278.4,39,stable,-0.3 ,-1.1, 0.6
"Mingo County, West Virginia",54059,No,240.5 ,216, 267,75,stable,-0.4 ,-1.0, 0.2
"Johnson County, Kentucky",21115,No,240.4 ,214.8, 268.4,67,stable,-0.2 ,-1.0, 0.7
"Lee County, Mississippi",28081,No,239.9 ,225.9, 254.6,222,falling,-4.9 ,-8.1, -1.6
"Lee County, South Carolina",45061,No,239.8 ,211.2, 271.3,53,stable,0.6 ,-0.3, 1.6
"Leflore County, Mississippi",28083,No,239.5 ,215.9, 265.1,78,stable,-0.1 ,-0.7, 0.5
"Cimarron County, Oklahoma",40025,No,239.3 ,169.9, 331.1,9,stable,0.4 ,-1.9, 2.7
"Mellette County, South Dakota",46095,No,239.3 ,157.7, 349.5,6,stable,0.3 ,-1.8, 2.4
"Whitley County, Kentucky",21235,No,239 ,217.8, 261.8,96,stable,-0.4 ,-1.2, 0.4
"Pike County, Kentucky",21195,No,238.7 ,223.2, 255,185,stable,-0.0 ,-0.4, 0.3
"Franklin City, Virginia",51620,No,238.1 ,197.7, 284.7,26,falling,-1.3 ,-2.3, -0.2
"Clark County, Missouri",29045,No,238 ,195.6, 287.8,23,stable,0.2 ,-1.2, 1.6
"Grayson County, Kentucky",21085,No,237.8 ,214.1, 263.5,76,stable,0.5 ,0.0, 1.1
"Mason County, Kentucky",21161,No,237.7 ,209.1, 269.4,51,stable,0.0 ,-0.8, 0.8
"Monroe County, Arkansas",05095,No,237.3 ,198.6, 282.2,28,stable,-0.4 ,-1.4, 0.7
"Mississippi County, Arkansas",05093,No,237.1 ,217.7, 257.8,113,stable,-0.5 ,-1.1, 0.2
"Bracken County, Kentucky",21023,No,237.1 ,195.8, 284.9,24,stable,-0.2 ,-1.3, 1.0
"Esmeralda County, Nevada",32009,No,237.1 ,138.9, 408.1,4,*,*,*,*
"Lewis County, Kentucky",21135,No,237 ,204.5, 273.5,40,stable,0.0 ,-1.0, 1.0
"Casey County, Kentucky",21045,No,236.9 ,207.6, 269.5,49,stable,-5.7 ,-11.9, 0.8
"Dunklin County, Missouri",29069,No,235.6 ,214.8, 258.1,97,stable,-0.2 ,-0.9, 0.6
"Bolivar County, Mississippi",28011,No,235.4 ,213, 259.6,85,stable,-0.4 ,-1.1, 0.3
