Incidence Rate Report for United States by County

"All Cancer Sites, 2010-2014"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,443.6 ,443.3, 443.9,1556536,falling,-1.6 ,-2.2, -0.9
"Union County, Florida(6,10)",12125,***,1195.2 ,1119.2, 1275.2,210,stable,-1.9 ,-14.4, 12.4
"Powell County, Kentucky(7,8)",21197,***,693 ,631.5, 759.1,99,stable,1.7 ,0.0, 3.4
"Harding County, New Mexico(7,8)",35021,***,681.5 ,449.1, 1013.4,8,rising,4.2 ,2.2, 6.4
"Logan County, Nebraska(6,10)",31113,***,669.3 ,445.7, 970.2,6,stable,10.1 ,-32.7, 80.0
"Thomas County, Nebraska(6,10)",31171,***,657.7 ,436.7, 962.1,6,stable,6.7 ,-24.2, 50.1
"Sheridan County, North Dakota(6,10)",38083,***,640.9 ,469.4, 862,14,stable,16.2 ,-6.6, 44.5
"Kingsbury County, South Dakota(6,10)",46077,***,637.3 ,552.7, 732.1,48,stable,-4.3 ,-19.1, 13.1
"Bracken County, Kentucky(7,8)",21023,***,615.6 ,547.4, 690.2,61,stable,1.3 ,-1.2, 3.8
"Estill County, Kentucky(7,8)",21065,***,612.3 ,560.5, 667.7,109,rising,1.7 ,0.5, 2.9
"Franklin City, Virginia(6,10)",51620,***,604.3 ,537.1, 677.9,64,rising,9.1 ,5.6, 12.7
"Yalobusha County, Mississippi(6,10)",28161,***,602.5 ,548.6, 660.6,98,stable,-0.0 ,-7.9, 8.5
"McCreary County, Kentucky(7,8)",21147,***,600.4 ,552.3, 651.8,121,stable,0.8 ,-0.7, 2.4
"Catahoula Parish, Louisiana(7,8)",22025,***,599.2 ,539, 664.7,75,stable,1.7 ,-0.1, 3.6
"Haakon County, South Dakota(6,10)",46055,***,595.8 ,468.6, 751.5,18,stable,-0.7 ,-12.2, 12.4
"Eddy County, North Dakota(6,10)",38027,***,595.5 ,475.4, 739.3,21,stable,-11.6 ,-38.4, 26.9
"Richmond County, Virginia(6,10)",51159,***,584.5 ,525.5, 649,74,stable,32.4 ,-11.3, 97.6
"Vilas County, Wisconsin(6,10)",55125,***,581.5 ,545, 620.3,229,stable,-2.3 ,-13.3, 10.1
"Sanborn County, South Dakota(6,10)",46111,***,580.9 ,454, 733.1,17,stable,1.5 ,-26.4, 39.9
